"","site","doy","t1_rate","t2_rate","mean_rate"
"1","CFL1",152,0.000173799199157698,0.000272627231264838,0.000223213215211268
"2","CFL1",166,0.000871083555266097,0.00104720186799876,0.000959142711632428
"3","CFL1",183,0.000297940401101166,0.00164001483170569,0.000968977616403427
"4","CFL1",197,0.000278798554230292,0.00115761879505439,0.000718208674642339
"5","CFL1",208,0.000967618524781253,0.00012978433108412,0.000548701427932686
"6","CFL1",223,0.000392725689792714,0.000574138749303493,0.000483432219548104
"7","CFL1",237,0.00018422853672701,0.00050094619322165,0.00034258736497433
"8","CFL2",166,0.00133563492741955,0.000725181381346924,0.00103040815438324
"9","CFL2",183,0.00128376634341693,0.00451767197738313,0.00290071916040003
"10","CFL2",197,0.00261581940343479,0.0158363448328657,0.00922608211815026
"11","CFL2",208,0.00208770969045955,0.0074290000377174,0.00475835486408847
"12","CFL2",223,0.00015187791812435,0.000380837430442806,0.000266357674283578
"13","CFL2",237,6.87385629739282e-05,7.98714463563706e-05,7.43050046651494e-05
"14","G1",150,0.000303615115183887,0.000518879495077816,0.000411247305130852
"15","G1",159,0.00201707675025039,0.00511963415924583,0.00356835545474811
"16","G1",173,8.34756732057174e-06,2.69349967769719e-05,1.76412820487718e-05
"17","G1",187,5.76513538335635e-05,0.000142405417784404,0.000100028385808984
"18","G1",203,0.000158551464564018,0.000532200904812026,0.000407651091396024
"19","G1",215,0.000441941078104389,0.00317683298900027,0.00180938703355233
"20","G1",229,9.74566512308575e-05,0.00198771264871967,0.00104258464997526
"21","G1",243,0.000139082672074174,0.00216660553024106,0.00115284410115762
"22","G1",257,4.96420998947867e-05,NA,4.96420998947867e-05
"23","G1",270,0.000165840990968054,0.00072573117706744,0.000445786084017747
"24","G2",150,0.000570046664789581,6.61608843038202e-05,0.0003181037745467
"25","G2",159,0.00260847090815607,0.00696810488765669,0.00478828789790638
"26","G2",173,0.000841105899741997,0.000534171284510871,0.000687638592126434
"27","G2",203,0.000544945155906918,0.0010287625361762,0.000786853846041561
"28","G2",215,0.000491979924480222,0.00169022945436589,0.00109110468942306
"29","G2",229,0.000165760285336175,0.00189927686394876,0.00103251857464247
"30","G2",257,0.000271457435676643,NA,0.000271457435676643
"31","G2",270,1.22409059735362e-05,0.000132840394034943,7.25406500042396e-05
"32","PB0",166,0.0789932540089935,0.00563224843600979,0.0423127512225016
"33","PB0",183,0.0177098679363291,0.00684540184133355,0.0122776348888313
"34","PB0",197,0.0675357230808489,0.00414480912394077,0.0358402661023948
"35","PB0",208,0.0457396010661816,0.00595466321259317,0.0258471321393874
"36","PB0",223,0.0197500239180691,0.0024673936244424,0.0111087087712558
"37","PB0",237,0.0137812219698511,0.00451944972911687,0.00915033584948399
"38","PB1",152,0.0140795135334129,0.00232692200802592,0.00820321777071943
"39","PB1",166,0.00364870942644442,0.00120911025823163,0.00242890984233803
"40","PB1",183,0.00228463487660083,0.000856764280911566,0.0015706995787562
"41","PB1",197,0.0031195426526834,0.000385249202086927,0.00175239592738516
"42","PB1",208,0.0414452757247726,0.00437973517076093,0.0229125054477668
"43","PB1",223,0.0190548900997363,0.00124147484812489,0.0101481824739306
"44","PB1",237,0.000448323428427176,0.000177630014979007,0.000312976721703092
"45","PB2",152,0.00156055706570831,0.000298164785499797,0.000929360925604053
"46","PB2",166,0.00476215025571884,0.00488409197847629,0.00482312111709756
"47","PB2",183,0.00157416024682409,0.00113506057066839,0.00135461040874624
"48","PB2",197,0.000708661870653928,0.00210772061906692,0.00140819124486042
"49","PB2",208,0.0170462759521939,0.00172745140411504,0.0093868636781545
"50","PB2",223,0.00165435028225047,0.00348710612226105,0.00257072820225576
"51","PB2",237,1.86757706272103e-05,5.28677801340756e-05,3.5771775380643e-05
"52","S0",146,0.00560514406660462,0.00108275229557902,0.00334394818109182
"53","S0",159,0.00786893470487077,0.00247566178085343,0.0051722982428621
"54","S0",173,0.0321857079164644,0.00325418968893824,0.0177199488027013
"55","S0",187,0.040851087451371,0.00397113679905347,0.0224111121252122
"56","S0",201,0.0363364893546728,0.0033844311509186,0.0198604602527957
"57","S0",215,0.0238432379941901,0.00111132984831169,0.0124772839212509
"58","S0",229,0.00485269961463024,0.00211118309913241,0.00348194135688132
"59","S0",243,0.0031361416242192,0.00234608973851938,0.00274111568136929
"60","S0",257,0.0298178178115413,NA,0.0298178178115413
"61","S0",270,0.00540153489653968,0.00192905591150078,0.00366529540402023
"62","Y0",146,0.00141762283354922,0.000216044540879852,0.000816833687214537
"63","Y0",159,0.0194353065538443,0.00110712747720274,0.0102712170155235
"64","Y0",173,0.0160318116452705,0.00157833882152947,0.00880507523339997
"65","Y0",187,0.0228327407116481,0.00136888366685513,0.0121008121892516
"66","Y0",203,0.0112687652958888,0.00133507752316714,0.00630192140952798
"67","Y0",215,0.00590859896612307,0.00117846923095499,0.00354353409853903
"68","Y0",229,0.00441269672390337,0.00289267916790222,0.00365268794590279
"69","Y0",243,0.0183931630058657,0.0019151219055691,0.0101541424557174
"70","Y0",257,0.0144459533923675,NA,0.0144459533923675
"71","Y0",270,0.00100581682199121,0.00358644658517339,0.0022961317035823
"72","Y1",146,0.00121177692394022,0.000148992512449599,0.00068038471819491
"73","Y1",159,0.00167423051459292,0.000904105907788938,0.00128916821119093
"74","Y1",173,0.000809431713084177,0.000150108468615258,0.000479770090849718
"75","Y1",187,0.0124447889847175,0.00064342116988562,0.00654410507730158
"76","Y1",203,0.00241630786369287,0.000142140431208431,0.00127922414745065
"77","Y1",215,0.00235279386521776,0.000296388622514313,0.00132459124386604
"78","Y1",229,0.00364077782953261,0.00244525101918171,0.00304301442435716
"79","Y1",243,0.00251288086851585,0.00266981201602612,0.00259134644227099
"80","Y1",257,0.00314024742823663,NA,0.00314024742823663
"81","Y1",270,0.000262365863853797,0.00019440119519431,0.000228383529524054
"82","Y2",159,0.00105161992715162,0.00194124187440157,0.0014964309007766
"83","Y2",173,0.000169458137770942,4.74854805090007e-05,0.000108471809139971
"84","Y2",187,0.000786400781789392,0.00110590464910531,0.000946152715447353
"85","Y2",203,0.00103211849224686,0.000341903081504862,0.000687010786875862
"86","Y2",215,0.000506784810966119,0.000588788118065682,0.0005477864645159
"87","Y2",229,0.000174368028860469,6.5990198466407e-05,0.000120179113663438
"88","Y2",243,4.95731241978675e-05,0.000351542232829122,0.000200557678513495
