"","type","doy","site","sedDepth","ch4_ppm","omit","ch4_sedvol","X","bulk_density","porosity","orgmatter","pch4_head","tKH_ch4","ch4_head","ch4_aq","vol_poresol","vol_porewater","ch4_tot_umol","ch4_porewater"
"1","Core",146,"S0",1,1761.79754,"",3,NA,0.2793,0.818866666666667,18.3456183456184,0.0017441795646,0.00142,71.2546519452172,2.476734981732,69.4566,2.4566,1.54758393020187,884.726483219181
"2","Core",146,"S0",5,1620.96378,"",3,NA,0.2081,0.830333333333334,22.4828017510945,0.0016047541422,0.00142,65.5587304087754,2.278750881924,69.491,2.491,1.42395226807281,802.645982757603
"3","Core",146,"S0",10,1348.13212,"",3,NA,0.296966666666667,0.804666666666667,18.1295600265311,0.0013346507988,0.00142,54.524247426732,1.895204134296,69.414,2.414,1.18413456562674,689.066050788101
"4","Core",146,"S0",15,1610.5016,"",3,NA,0.341833333333333,0.771466666666666,20.3341013824885,0.001594396584,0.00142,65.1355949590073,2.26404314928,69.3144,2.3144,1.414361828661,858.957786658914
"5","Core",146,"S0",20,738.60281,"",3,NA,0.322733333333333,0.774733333333333,16.8623047871797,0.0007312167819,0.00142,29.8722667942364,1.038327830298,69.3242,2.3242,0.648660025451913,392.254969492272
"6","Core",146,"Y0",1,109.44255,"",3,NA,0.2109,0.944,27.0377418331748,0.0001083481245,0.00142,4.42632631229978,0.15385433679,69.832,2.832,0.0961933955569149,47.5990372746389
"7","Core",146,"Y0",5,526.9211,"",3,NA,0.155266666666667,0.941933333333333,23.9650021340162,0.000521651889,0.00142,21.3109501691613,0.74074568238,69.8258,2.8258,0.463127249604356,229.678611389902
"8","Core",146,"Y0",10,635.25603,"",3,NA,0.1956,0.8777,23.6522911051213,0.0006289034697,0.00142,25.6924795761438,0.893042926974,69.6331,2.6331,0.55817408042167,297.403887529358
"9","Core",146,"Y0",15,566.578,"",3,NA,0.114566666666667,0.884933333333334,37.774647887324,0.00056091222,0.00142,22.9148453628884,0.7964953524,69.6548,2.6548,0.49784672468212,263.059298646523
"10","Core",146,"Y0",20,906.26825,"",3,NA,0.269766666666667,0.819466666666667,27.542269051703,0.0008972055675,0.00142,36.6533765978304,1.27403190585,69.4584,2.4584,0.796079111568899,454.766424993607
"11","Core",146,"Y1",1,768.82207,"",3,NA,0.2717,0.903966666666667,16.7134317433207,0.0007611338493,0.00142,31.0944633318374,1.080810066006,69.7119,2.7119,0.675618388557033,349.360940162445
"12","Core",146,"Y1",5,1132.24197,"",3,NA,0.292066666666667,0.866266666666667,17.0566293658867,0.0011209195503,0.00142,45.7927234307053,1.591705761426,69.5988,2.5988,0.994801164333923,537.148057204202
"13","Core",146,"Y1",15,1396.58743,"",1.5,NA,0.213233333333333,0.726173333333333,30.7963787018567,0.0013826215557,0.00142,56.483988072611,1.963322609094,69.58926,1.08926,1.22703947677846,1580.81690053909
"14","Core",146,"Y1",20,1100.50908,"",2,NA,0.379933333333333,0.74668,13.212480390448,0.0010895039892,0.00142,44.5093092013008,1.547095664664,69.49336,1.49336,0.966757146711671,908.969370241747
"15","Core",150,"G1",1,13.95987,"",3,NA,1.412,0.312633333333333,1.37384724521165,1.38202713e-05,0.00142,0.564597041071177,0.019624785246,67.9379,0.9379,0.0122327118140678,18.4841430946098
"16","Core",150,"G1",5,111.41019,"",3,NA,1.4168,0.297833333333333,0.864512471655328,0.0001102960881,0.00142,4.50590611654533,0.156620445102,67.8935,0.8935,0.0976192236183993,154.878956625878
"17","Core",150,"G1",10,605.26663,"",3,NA,1.4519,0.324533333333333,0.95452768130274,0.0005992139637,0.00142,24.4795795632139,0.850883828454,67.9736,0.9736,0.530411551696999,771.916582212502
"18","Core",150,"G2",1,38.69443,"",3,NA,1.4489,0.369566666666667,1.26838700766558,3.83074857e-05,0.00142,1.56496877721181,0.054396629694,68.1087,1.1087,0.0339163266831959,43.3085587911173
"19","Core",150,"G2",5,486.71581,"",3,NA,1.4056,0.387033333333333,1.59732276362947,0.0004818486519,0.00142,19.6848757308314,0.684225085698,68.1611,1.1611,0.426650547391438,520.047334827446
"20","Core",150,"G2",10,444.01025,"",3,NA,1.1339,0.381266666666667,0.863797169811324,0.0004395701475,0.00142,17.9576796456753,0.62418960945,68.1438,1.1438,0.389204452632946,481.630176444934
"21","Core",150,"G2",15,39.2539,"",3,NA,1.3968,0.4227,0.877256058100236,3.8861361e-05,0.00142,1.58759614455607,0.05518313262,68.2681,1.2681,0.0344155078547367,38.384712512117
"22","Core",152,"CFL1",1,6.01437,"",2,NA,2.07,0.5,2.37806945318931,5.9542263e-06,0.00142,0.243246928940403,0.008455001346,69,1,0.00527923364476205,7.43402288752207
"23","Core",152,"CFL1",5,29.11557,"",3,NA,1.44,0.453333333333333,1.3953811264868,2.88244143e-05,0.00142,1.17755857834641,0.040930668306,68.36,1.36,0.0255305786862064,26.5361254894217
"24","Core",152,"PB1",1,1781.70874,"",3,NA,0.96,0.633333333333333,3.04719692510129,0.0017638916526,0.00142,72.0599463071401,2.504726146692,68.9,1.9,1.56368003471604,1159.59051116064
"25","Core",152,"PB1",5,331.12927,"",3,NA,1.32333333333333,0.46,NA,0.0003278179773,0.00142,13.3922884707421,0.465501527766,68.38,1.38,0.290366733328162,297.393179972855
"26","Core",152,"PB1",10,2044.18285,"",2.5,NA,1.44333333333333,0.426666666666666,2.98252892638177,0.0020237410215,0.00142,82.6755255255562,2.87371225053,68.5666666666667,1.06666666666666,1.79307713547853,2373.25819385682
"27","Core",152,"PB1",15,3212.60593,"",3,NA,0.478183333333333,0.710666666666667,NA,0.0031804798707,0.00142,129.931568288653,4.516281416394,69.132,2.132,2.82052530432333,1861.47615798327
"28","Core",152,"PB1",20,1797.77497,"",3,NA,0.602166666666667,0.765166666666667,NA,0.0017797972203,0.00142,72.7097335844692,2.527312052826,69.2955,2.2955,1.57877978298947,966.811964126242
"29","Core",152,"PB2",1,208.69848,"",2.1,NA,1.02,0.184,0.510084884354788,0.0002066114952,0.00142,8.44066200358974,0.293388323184,68.2864,0.386400000000001,0.182979906000387,669.692865710653
"30","Core",152,"PB2",5,31.84324,"",2.25,NA,1.315,0.245,0.92262130761638,3.15248076e-05,0.00142,1.28787725688845,0.044765226792,68.30125,0.55125,0.0279197615483561,71.6198462145368
"31","Core",152,"PB2",10,418.9598,"",3,NA,1.32666666666667,0.513333333333333,3.10470219435737,0.000414770202,0.00142,16.9445319625306,0.58897368684,68.54,1.54,0.367479422009826,336.94315017409
"32","Core",159,"G1",1,1.94854,"",2,NA,1.29216666666667,0.596166666666666,1.26660647491294,1.9290546e-06,0.00142,0.0788073182922786,0.002739257532,69.1923333333333,1.19233333333333,0.00171089683544556,2.0183045116692
